Région,Préfecture,Commune
Casablanca-Settat,BERRECHID,LAMBARKIYINE
Casablanca-Settat,BERRECHID,OULAD ABBOU
Casablanca-Settat,BERRECHID,OULAD CEBBAH
Casablanca-Settat,BERRECHID,OULAD ZIANE
Casablanca-Settat,BERRECHID,OULAD ZIDANE
Casablanca-Settat,BERRECHID,RIAH
Casablanca-Settat,BERRECHID,SAHEL  OULAD H'RIZ
Casablanca-Settat,BERRECHID,SIDI ABDELKHALEQ
Casablanca-Settat,BERRECHID,SIDI EL MEKKI
Casablanca-Settat,BERRECHID,SIDI RAHAL CHATAI
Casablanca-Settat,BERRECHID,SOUALEM TRIFIA
Casablanca-Settat,BERRECHID,ZAOUIAT SIDI BEN HAMDOUN
Casablanca-Settat,CASABLANCA,CASABLANCA
Casablanca-Settat,CASABLANCA,MECHOUAR CASABLANCA
Casablanca-Settat,EL JADIDA,AZEMMOUR
Casablanca-Settat,EL JADIDA,BOULAOUANE
Casablanca-Settat,EL JADIDA,CHAIBATE
Casablanca-Settat,EL JADIDA,EL JADIDA
Casablanca-Settat,EL JADIDA,HAOUZIA
Casablanca-Settat,EL JADIDA,HCHTOUKA
Casablanca-Settat,EL JADIDA,LAGHDIRA
Casablanca-Settat,EL JADIDA,LAMHARZA ESSAHEL
Casablanca-Settat,EL JADIDA,LBIR JDID
Casablanca-Settat,EL JADIDA,METTOUH
Casablanca-Settat,EL JADIDA,MOGRESS
Casablanca-Settat,EL JADIDA,MOULAY ABDELLAH
Casablanca-Settat,EL JADIDA,OULAD AISSA
Casablanca-Settat,EL JADIDA,OULAD FREJ
Casablanca-Settat,EL JADIDA,OULAD GHANEM
Casablanca-Settat,EL JADIDA,OULAD HAMDANE
Casablanca-Settat,EL JADIDA,OULAD HCINE
Casablanca-Settat,EL JADIDA,OULAD RAHMOUNE
Casablanca-Settat,EL JADIDA,OULAD SIDI ALI BEN-YOUSSEF
Casablanca-Settat,EL JADIDA,SEBT SAISS
Casablanca-Settat,EL JADIDA,SI HSAIEN BEN ABDERRAHMANE
Casablanca-Settat,EL JADIDA,SIDI ABED
Casablanca-Settat,EL JADIDA,SIDI ALI BEN HAMDOUCHE
Casablanca-Settat,EL JADIDA,SIDI M'HAMED AKHDIM
Casablanca-Settat,EL JADIDA,SIDI SMAIL
Casablanca-Settat,EL JADIDA,ZAOUIAT LAKOUACEM
Casablanca-Settat,EL JADIDA,ZAOUIAT SAISS
Casablanca-Settat,MEDIOUNA,AL MAJJATIA  OULAD TALEB
Casablanca-Settat,MEDIOUNA,LAHRAOUYINE
Casablanca-Settat,MEDIOUNA,MEDIOUNA
Casablanca-Settat,MEDIOUNA,SIDI HAJJAJ OUED HASSAR
Casablanca-Settat,MEDIOUNA,TIT MELLIL
Casablanca-Settat,MOHAMMADIA,AIN HARROUDA
Casablanca-Settat,MOHAMMADIA,BENI YKHLEF
Casablanca-Settat,MOHAMMADIA,ECHCHALLALATE
Casablanca-Settat,MOHAMMADIA,MOHAMMADIA
Casablanca-Settat,MOHAMMADIA,SIDI MOUSSA BEN ALI
Casablanca-Settat,MOHAMMADIA,SIDI MOUSSA EL MAJDOUB
Casablanca-Settat,NOUACEUR,BOUSKOURA
Casablanca-Settat,NOUACEUR,DAR BOUAZZA
Casablanca-Settat,NOUACEUR,NOUACEUR
Casablanca-Settat,NOUACEUR,OULAD AZZOUZ
Casablanca-Settat,NOUACEUR,OULAD SALAH
Casablanca-Settat,SETTAT,AIN BLAL
Casablanca-Settat,SETTAT,AIN DORBANE-
Casablanca-Settat,SETTAT,BEN AHMED
Casablanca-Settat,SETTAT,BENI KHLOUG
Casablanca-Settat,SETTAT,BENI YAGRINE
Casablanca-Settat,SETTAT,BOUGUARGOUH
Casablanca-Settat,SETTAT,DAR CHAFFAI
Casablanca-Settat,SETTAT,EL BOROUJ
Casablanca-Settat,SETTAT,GDANA
Casablanca-Settat,SETTAT,GUISSER
Casablanca-Settat,SETTAT,KHEMISSET CHAOUIA
Casablanca-Settat,SETTAT,LAHOUAZA
Casablanca-Settat,SETTAT,LAKHZAZRA
Casablanca-Settat,SETTAT,LAQRAQRA
Casablanca-Settat,SETTAT,LOULAD
Casablanca-Settat,SETTAT,MACHRAA BEN ABBOU
Casablanca-Settat,SETTAT,MESKOURA
Casablanca-Settat,SETTAT,M'GARTO
Casablanca-Settat,SETTAT,MNIAA
Casablanca-Settat,SETTAT,MRIZIGUE
Casablanca-Settat,SETTAT,MZAMZA ALJANOUBIA
Casablanca-Settat,SETTAT,MZOURA
Casablanca-Settat,SETTAT,N'KHILA
Casablanca-Settat,SETTAT,OUED NAANAA
Casablanca-Settat,SETTAT,OULAD AMER
Casablanca-Settat,SETTAT,OULAD BOUALI NOUAJA
Casablanca-Settat,SETTAT,OULAD CHBANA
Casablanca-Settat,SETTAT,OULAD FARES
Casablanca-Settat,SETTAT,OULAD FARES EL HALLA
Casablanca-Settat,SETTAT,OULAD FREIHA
Casablanca-Settat,SETTAT,OULAD M'RAH
Casablanca-Settat,SETTAT,OULAD SAID
Casablanca-Settat,SETTAT,OULAD SGHIR
Casablanca-Settat,SETTAT,OULED M'HAMED
Casablanca-Settat,SETTAT,RAS EL AIN CHAOUIA
Casablanca-Settat,SETTAT,RIMA
Casablanca-Settat,SETTAT,SETTAT
Casablanca-Settat,SETTAT,SGAMNA
Casablanca-Settat,SETTAT,SIDI ABDELKRIM
Casablanca-Settat,SETTAT,SIDI AHMED EL KHADIR
Casablanca-Settat,SETTAT,SIDI BOUMEHDI
Casablanca-Settat,SETTAT,SIDI DAHBI
Casablanca-Settat,SETTAT,SIDI EL AIDI
Casablanca-Settat,SETTAT,SIDI HAJJAJ
Casablanca-Settat,SETTAT,SIDI MOHAMMED BEN RAHAL
Casablanca-Settat,SETTAT,TOUALET
Casablanca-Settat,SIDI BENNOUR,BENI HILAL
Casablanca-Settat,SIDI BENNOUR,BENI TSIRISS
Casablanca-Settat,SIDI BENNOUR,BOUHMAME
Casablanca-Settat,SIDI BENNOUR,JABRIA
Casablanca-Settat,SIDI BENNOUR,KHMIS KSIBA
Casablanca-Settat,SIDI BENNOUR,KOUDIAT BENI DGHOUGH
Casablanca-Settat,SIDI BENNOUR,KRIDID
Casablanca-Settat,SIDI BENNOUR,LAAGAGCHA
Casablanca-Settat,SIDI BENNOUR,LAAMRIA
Casablanca-Settat,SIDI BENNOUR,LAAOUNATE
Casablanca-Settat,SIDI BENNOUR,LAATATRA
Casablanca-Settat,SIDI BENNOUR,LAGHNADRA
Casablanca-Settat,SIDI BENNOUR,LGHARBIA
Casablanca-Settat,SIDI BENNOUR,LMECHREK
Casablanca-Settat,SIDI BENNOUR,LOUALIDIA
Casablanca-Settat,SIDI BENNOUR,METRANE
Casablanca-Settat,SIDI BENNOUR,M'TAL
Casablanca-Settat,SIDI BENNOUR,OULAD AMRANE
Casablanca-Settat,SIDI BENNOUR,OULAD BOUSSAKEN
Casablanca-Settat,SIDI BENNOUR,OULAD SBAITA
Casablanca-Settat,SIDI BENNOUR,OULAD SI BOUHYA
Casablanca-Settat,SIDI BENNOUR,SANIAT BERGUIG
Casablanca-Settat,SIDI BENNOUR,SIDI BENNOUR
Casablanca-Settat,SIDI BENNOUR,TAMDA
Casablanca-Settat,SIDI BENNOUR,ZMAMRA
Dakhla-Oued Ed-Dahab,AOUSSERD,AGHOUINITE
Dakhla-Oued Ed-Dahab,AOUSSERD,AOUSSERD
Dakhla-Oued Ed-Dahab,AOUSSERD,BIR GANDOUZ
Dakhla-Oued Ed-Dahab,AOUSSERD,LAGOUIRA
Dakhla-Oued Ed-Dahab,AOUSSERD,TICHLA
Dakhla-Oued Ed-Dahab,AOUSSERD,ZOUG
Dakhla-Oued Ed-Dahab,OUED ED DAHAB,BIR ANZARANE
Dakhla-Oued Ed-Dahab,OUED ED DAHAB,DAKHLA
Dakhla-Oued Ed-Dahab,OUED ED DAHAB,EL ARGOUB
Dakhla-Oued Ed-Dahab,OUED ED DAHAB,GLEIBAT EL FOULA
Dakhla-Oued Ed-Dahab,OUED ED DAHAB,IMLILI
Dakhla-Oued Ed-Dahab,OUED ED DAHAB,MIJIK
Dakhla-Oued Ed-Dahab,OUED ED DAHAB,OUM DREYGA
Drâa-Tafilalet,ERRACHIDIA,AARAB SEBBAH GHERIS
Drâa-Tafilalet,ERRACHIDIA,AARAB SEBBAH ZIZ
Drâa-Tafilalet,ERRACHIDIA,AGHBALOU-N'KERDOUS
Drâa-Tafilalet,ERRACHIDIA,AMELLAGOU
Drâa-Tafilalet,ERRACHIDIA,AOUFOUS
Drâa-Tafilalet,ERRACHIDIA,ARFOUD
Drâa-Tafilalet,ERRACHIDIA,BENI M'HAMED-SIJELMASSA
Drâa-Tafilalet,ERRACHIDIA,BOUDNIB
Drâa-Tafilalet,ERRACHIDIA,CHORFA M'DAGHRA
Drâa-Tafilalet,ERRACHIDIA,ERRACHIDIA
Drâa-Tafilalet,ERRACHIDIA,ERRTEB
Drâa-Tafilalet,ERRACHIDIA,ESSFALAT
Drâa-Tafilalet,ERRACHIDIA,ESSIFA
Drâa-Tafilalet,ERRACHIDIA,ETTAOUS
Drâa-Tafilalet,ERRACHIDIA,FERKLA EL OULIA
Drâa-Tafilalet,ERRACHIDIA,FERKLA ES-SOUFLA
Drâa-Tafilalet,ERRACHIDIA,FEZNA
Drâa-Tafilalet,ERRACHIDIA,GHERIS EL OULOUI
Drâa-Tafilalet,ERRACHIDIA,GHERIS ESSOUFLI
Drâa-Tafilalet,ERRACHIDIA,GOULMIMA
Drâa-Tafilalet,ERRACHIDIA,JORF
Drâa-Tafilalet,ERRACHIDIA,LKHENG
Drâa-Tafilalet,ERRACHIDIA,MELAAB
Drâa-Tafilalet,ERRACHIDIA,MOULAY ALI CHERIF
Drâa-Tafilalet,ERRACHIDIA,OUED NAAM
Drâa-Tafilalet,ERRACHIDIA,RISSANI
Drâa-Tafilalet,ERRACHIDIA,SIDI ALI
Drâa-Tafilalet,ERRACHIDIA,TADIGHOUST
Drâa-Tafilalet,ERRACHIDIA,TINEJDAD
Drâa-Tafilalet,MIDELT,AGHBALOU
Drâa-Tafilalet,MIDELT,AGOUDIM
Drâa-Tafilalet,MIDELT,AIT AYACH
Drâa-Tafilalet,MIDELT,AIT BEN YACOUB
Drâa-Tafilalet,MIDELT,AIT IZDEG
Drâa-Tafilalet,MIDELT,AIT YAHYA
Drâa-Tafilalet,MIDELT,AMERSID
Drâa-Tafilalet,MIDELT,AMOUGUER
Drâa-Tafilalet,MIDELT,ANEMZI
Drâa-Tafilalet,MIDELT,BOUAZMOU
Drâa-Tafilalet,MIDELT,BOUMIA
Drâa-Tafilalet,MIDELT,EN-NZALA
Drâa-Tafilalet,MIDELT,ER-RICH
Drâa-Tafilalet,MIDELT,GOURRAMA
Drâa-Tafilalet,MIDELT,GUERS TIAALLALINE
Drâa-Tafilalet,MIDELT,GUIR
Drâa-Tafilalet,MIDELT,IMILCHIL
Drâa-Tafilalet,MIDELT,ITZER
Drâa-Tafilalet,MIDELT,MIBLADEN
Drâa-Tafilalet,MIDELT,MIDELT
Drâa-Tafilalet,MIDELT,M'ZIZEL
Drâa-Tafilalet,MIDELT,OUTERBAT
Drâa-Tafilalet,MIDELT,SIDI AAYAD
Drâa-Tafilalet,MIDELT,SIDI YAHIA OU YOUSSEF
Drâa-Tafilalet,MIDELT,TANOURDI
Drâa-Tafilalet,MIDELT,TIZI N'GHACHOU
Drâa-Tafilalet,MIDELT,TOUNFITE
Drâa-Tafilalet,MIDELT,ZAIDA
Drâa-Tafilalet,MIDELT,ZAOUIAT SIDI HAMZA
Drâa-Tafilalet,OUARZAZATE,AIT ZINEB
Drâa-Tafilalet,OUARZAZATE,AMERZGANE
Drâa-Tafilalet,OUARZAZATE,GHASSATE
Drâa-Tafilalet,OUARZAZATE,IDELSANE
Drâa-Tafilalet,OUARZAZATE,IGHREM N'OUGDAL
Drâa-Tafilalet,OUARZAZATE,IMI N'OULAOUNE
Drâa-Tafilalet,OUARZAZATE,IZNAGUEN
Drâa-Tafilalet,OUARZAZATE,KHOUZAMA
Drâa-Tafilalet,OUARZAZATE,OUARZAZATE
Drâa-Tafilalet,OUARZAZATE,OUISSELSATE
Drâa-Tafilalet,OUARZAZATE,SIROUA
Drâa-Tafilalet,OUARZAZATE,SKOURA AHL EL OUST
Drâa-Tafilalet,OUARZAZATE,TARMIGT
Drâa-Tafilalet,OUARZAZATE,TAZNAKHT
Drâa-Tafilalet,OUARZAZATE,TELOUET
Drâa-Tafilalet,OUARZAZATE,TIDILI
Drâa-Tafilalet,OUARZAZATE,TOUNDOUTE
Drâa-Tafilalet,TINGHIR,AIT EL FARSI
Drâa-Tafilalet,TINGHIR,AIT OUASSIF
Drâa-Tafilalet,TINGHIR,AIT SEDRATE JBEL EL OULIA
Drâa-Tafilalet,TINGHIR,AIT SEDRATE JBEL SOUFLA
Drâa-Tafilalet,TINGHIR,AIT SEDRATE SAHL CHARKIA
Drâa-Tafilalet,TINGHIR,AIT SEDRATE SAHL EL-GHARBIA
Drâa-Tafilalet,TINGHIR,AIT YOUL
Drâa-Tafilalet,TINGHIR,AIT-HANI
Drâa-Tafilalet,TINGHIR,ALNIF
Drâa-Tafilalet,TINGHIR,ASSOUL
Drâa-Tafilalet,TINGHIR,BOUMALNE-DADES
Drâa-Tafilalet,TINGHIR,H'SSYIA
Drâa-Tafilalet,TINGHIR,IGHIL N'OUMGOUN
Drâa-Tafilalet,TINGHIR,IKNIOUEN
Drâa-Tafilalet,TINGHIR,IMIDER
Drâa-Tafilalet,TINGHIR,KALAAT M'GOUNA
Drâa-Tafilalet,TINGHIR,M'SEMRIR
Drâa-Tafilalet,TINGHIR,M'SSICI
Drâa-Tafilalet,TINGHIR,OUAKLIM
Drâa-Tafilalet,TINGHIR,SOUK LAKHMIS DADES
Drâa-Tafilalet,TINGHIR,TAGHZOUTE N'AIT ATTA
Drâa-Tafilalet,TINGHIR,TILMI
Drâa-Tafilalet,TINGHIR,TINGHIR
Drâa-Tafilalet,TINGHIR,TOUDGHA EL OULIA
Drâa-Tafilalet,TINGHIR,TOUDGHA EL SOUFLA
Drâa-Tafilalet,ZAGORA,AFELLA N'DRA
Drâa-Tafilalet,ZAGORA,AFRA
Drâa-Tafilalet,ZAGORA,AGDZ
Drâa-Tafilalet,ZAGORA,AIT BOUDAOUD
Drâa-Tafilalet,ZAGORA,AIT OUALLAL
Drâa-Tafilalet,ZAGORA,BENI ZOLI
Drâa-Tafilalet,ZAGORA,BLEIDA
Drâa-Tafilalet,ZAGORA,BOUZEROUAL
Drâa-Tafilalet,ZAGORA,ERROUHA
Drâa-Tafilalet,ZAGORA,FEZOUATA
Drâa-Tafilalet,ZAGORA,KTAOUA
Drâa-Tafilalet,ZAGORA,MEZGUITA
Drâa-Tafilalet,ZAGORA,M'HAMID EL GHIZLANE
Drâa-Tafilalet,ZAGORA,N'KOB
Drâa-Tafilalet,ZAGORA,OULAD YAHIA LAGRAIRE
Drâa-Tafilalet,ZAGORA,TAFTECHNA
Drâa-Tafilalet,ZAGORA,TAGHBALTE
Drâa-Tafilalet,ZAGORA,TAGOUNITE
Drâa-Tafilalet,ZAGORA,TAMEGROUTE
Drâa-Tafilalet,ZAGORA,TAMEZMOUTE
Drâa-Tafilalet,ZAGORA,TANSIFTE
Drâa-Tafilalet,ZAGORA,TAZARINE
Drâa-Tafilalet,ZAGORA,TERNATA
Drâa-Tafilalet,ZAGORA,TINZOULINE
Drâa-Tafilalet,ZAGORA,ZAGORA
Fès-Meknès,BOULEMANE,AIT BAZZA
Fès-Meknès,BOULEMANE,AIT EL MANE
Fès-Meknès,BOULEMANE,ALMIS MARMOUCHA
Fès-Meknès,BOULEMANE,BOULEMANE
Fès-Meknès,BOULEMANE,EL MERS
Fès-Meknès,BOULEMANE,EL ORJANE
Fès-Meknès,BOULEMANE,ENJIL
Fès-Meknès,BOULEMANE,ERMILA
Fès-Meknès,BOULEMANE,FRITISSA
Fès-Meknès,BOULEMANE,GUIGOU
Fès-Meknès,BOULEMANE,IMOUZZER MARMOUCHA
Fès-Meknès,BOULEMANE,KSABI MOULOUYA
Fès-Meknès,BOULEMANE,MISSOUR
Fès-Meknès,BOULEMANE,OUIZEGHT
Fès-Meknès,BOULEMANE,OULAD ALI YOUSSEF
Fès-Meknès,BOULEMANE,OUTAT EL HAJ
Fès-Meknès,BOULEMANE,SERGHINA
Fès-Meknès,BOULEMANE,SIDI BOUTAYEB
Fès-Meknès,BOULEMANE,SKOURA M'DAZ
Fès-Meknès,BOULEMANE,TALZEMT
Fès-Meknès,BOULEMANE,TISSAF
Fès-Meknès,EL HAJEB,AGOURAI
Fès-Meknès,EL HAJEB,AIN TAOUJDATE
Fès-Meknès,EL HAJEB,AIT BOUBIDMANE
Fès-Meknès,EL HAJEB,AIT BOURZOUINE
Fès-Meknès,EL HAJEB,AIT HARZ ALLAH
Fès-Meknès,EL HAJEB,AIT NAAMANE
Fès-Meknès,EL HAJEB,AIT OUIKHALFEN
Fès-Meknès,EL HAJEB,AIT YAAZEM
Fès-Meknès,EL HAJEB,BITIT
Fès-Meknès,EL HAJEB,EL HAJEB
Fès-Meknès,EL HAJEB,IQADDAR
Fès-Meknès,EL HAJEB,JAHJOUH
Fès-Meknès,EL HAJEB,LAQSIR
Fès-Meknès,EL HAJEB,RAS IJERRI
Fès-Meknès,EL HAJEB,SABAA AIYOUN
Fès-Meknès,EL HAJEB,TAMCHACHATE
Fès-Meknès,FES,AIN BIDA
Fès-Meknès,FES,FES
Fès-Meknès,FES,MECHOUAR FES JDID
Fès-Meknès,FES,OULAD TAYEB
Fès-Meknès,FES,SIDI HARAZEM
Fès-Meknès,IFRANE,AIN LEUH
Fès-Meknès,IFRANE,AZROU
